abseil-cpp 20260526.0-2
acl 2.4.0-1
adwaita-fonts 50.0-1
archlinux-keyring 1:20260727-1
at-spi2-core 2.60.6-1
attr 2.6.0-1
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
base 3-3
base-devel 1-2
bash 5.3.15-1
binutils 2.47-4
bison 3.8.2-8
boost-libs 1.92.0-1
bpf 7.1.8-1
brotli 1.2.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.127-1
ca-certificates-utils 20240618-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
chwd 1.24.1-1
clang 22.1.8-1
cmake 4.4.2-1
compiler-rt 22.1.8-1
coreutils 9.11-2
cpio 2.15-3
cppdap 1.58.0-3
cryptsetup 2.8.7-1
curl 8.21.0-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
debugedit 5.3-2
default-cursors 3-1
device-mapper 2.03.42-1
diffutils 3.12-2
double-conversion 3.4.0-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
elfutils 0.196-1
expat 2.8.3-1
fakeroot 1:1.37.2-3
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
flex 2.6.4-6
fontconfig 2:2.18.3-1
freetype2 2.14.3-1
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.2.1+r23+gd564253eb6c8-1
gcc-libs 16.2.1+r23+gd564253eb6c8-1
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gettext 1.0-2
git 2.55.0-1
glib2 2.88.3-1
glibc 2.44+r24+g16be1518495f-1
gmp 6.3.0-3
gnulib-l10n 20241231-1
gnupg 2.4.9-3
gnutls 3.8.13-2
gobject-introspection-runtime 1.86.0-2
gpgme 2.1.2-1
graphite 1:1.3.15-1
grep 3.12-2
groff 1.24.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gtest 1.17.0-2
guile 3.0.11-1
gumbo-parser 0.13.2-1
gzip 1.14-2
harfbuzz 14.3.1-1
hicolor-icon-theme 0.18-1
hwdata 0.410-1
iana-etc 20260530-1
icu 78.3-1
iproute2 7.2.0-1
iptables 1:1.8.13-1
iputils 20250605-1
jansson 2.15.0-1
jq 1.8.2-1
json-c 0.19-1
jsoncpp 1.9.6-3
kbd 2.10.0-1
keyutils 1.6.3-4
kmod 34.2-1
krb5 1.22.2-1
leancrypto 1.8.0-1
libarchive 3.8.9-1
libasan 16.2.1+r23+gd564253eb6c8-1
libassuan 3.0.0-1
libatomic 16.2.1+r23+gd564253eb6c8-1
libb2 0.98.1-3
libbpf 1.7.0-1
libcap 2.78-1
libcap-ng 0.9.3-1
libcups 2:2.4.19-1
libdaemon 0.14-6
libdrm 2.4.134-1
libedit 20260512_3.1-1
libelf 0.196-1
libepoxy 1.5.10-3
libevdev 1.13.7-1
libevent 2.1.13-2
libffi 3.8.0-1
libfontenc 1.1.9-1
libgcc 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.2-1
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgirepository 1.86.0-2
libgit2 1:1.9.7-1
libglvnd 1.7.0-3
libgomp 16.2.1+r23+gd564253eb6c8-1
libgpg-error 1.61-1
libgudev 238-3
libhwasan 16.2.1+r23+gd564253eb6c8-1
libice 1.1.2-1
libidn2 2.3.8-1
libinput 1.31.3-1
libisl 0.28-1
libjpeg-turbo 3.2.0-2
libksba 1.8.0-1
libldap 2.6.13-1
liblsan 16.2.1+r23+gd564253eb6c8-1
libmakepkg-dropins 20-2
libmnl 1.0.5-2
libmpc 1.4.1-1
libnetfilter_conntrack 1.1.1-1
libnfnetlink 1.0.2-2
libnftnl 1.3.1-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnl 3.12.0-1
libnsl 2.0.1-2
libobjc 16.2.1+r23+gd564253eb6c8-1
libp11-kit 0.26.5-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpng 1.6.58-2
libproxy 0.5.12-1
libpsl 0.21.5-2
